"月份","能源类型","用量","单位","组织","地点","部门","设备","备注"
"2025-05","电力","254","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0245","多记录删除子查询路径验证"
"2025-06","电力","255","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0246","多记录删除子查询路径验证"
"2025-07","电力","256","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0247","多记录删除子查询路径验证"
"2025-08","电力","257","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0248","多记录删除子查询路径验证"
"2025-09","电力","258","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0249","多记录删除子查询路径验证"
"2025-10","电力","259","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0250","多记录删除子查询路径验证"
"2025-11","电力","260","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0251","多记录删除子查询路径验证"
"2025-12","电力","261","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0252","多记录删除子查询路径验证"
"2025-01","电力","262","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0253","多记录删除子查询路径验证"
"2025-02","电力","263","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0254","多记录删除子查询路径验证"
"2025-03","电力","264","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0255","多记录删除子查询路径验证"
"2025-04","电力","265","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0256","多记录删除子查询路径验证"
"2025-05","电力","266","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0257","多记录删除子查询路径验证"
"2025-06","电力","267","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0258","多记录删除子查询路径验证"
"2025-07","电力","268","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0259","多记录删除子查询路径验证"
"2025-08","电力","269","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0260","多记录删除子查询路径验证"
"2025-09","电力","270","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0261","多记录删除子查询路径验证"
"2025-10","电力","271","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0262","多记录删除子查询路径验证"
"2025-11","电力","272","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0263","多记录删除子查询路径验证"
"2025-12","电力","273","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0264","多记录删除子查询路径验证"
"2025-01","电力","274","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0265","多记录删除子查询路径验证"
"2025-02","电力","275","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0266","多记录删除子查询路径验证"
"2025-03","电力","276","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0267","多记录删除子查询路径验证"
"2025-04","电力","277","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0268","多记录删除子查询路径验证"
"2025-05","电力","278","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0269","多记录删除子查询路径验证"
"2025-06","电力","279","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0270","多记录删除子查询路径验证"
"2025-07","电力","280","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0271","多记录删除子查询路径验证"
"2025-08","电力","281","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0272","多记录删除子查询路径验证"
"2025-09","电力","282","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0273","多记录删除子查询路径验证"
"2025-10","电力","283","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0274","多记录删除子查询路径验证"
"2025-11","电力","284","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0275","多记录删除子查询路径验证"
"2025-12","电力","285","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0276","多记录删除子查询路径验证"
"2025-01","电力","286","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0277","多记录删除子查询路径验证"
"2025-02","电力","287","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0278","多记录删除子查询路径验证"
"2025-03","电力","288","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0279","多记录删除子查询路径验证"
"2025-04","电力","289","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0280","多记录删除子查询路径验证"
"2025-05","电力","290","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0281","多记录删除子查询路径验证"
"2025-06","电力","291","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0282","多记录删除子查询路径验证"
"2025-07","电力","292","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0283","多记录删除子查询路径验证"
"2025-08","电力","293","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0284","多记录删除子查询路径验证"
"2025-09","电力","294","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0285","多记录删除子查询路径验证"
"2025-10","电力","295","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0286","多记录删除子查询路径验证"
"2025-11","电力","296","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0287","多记录删除子查询路径验证"
"2025-12","电力","297","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0288","多记录删除子查询路径验证"
"2025-01","电力","298","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0289","多记录删除子查询路径验证"
"2025-02","电力","299","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0290","多记录删除子查询路径验证"
"2025-03","电力","300","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0291","多记录删除子查询路径验证"
"2025-04","电力","301","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0292","多记录删除子查询路径验证"
"2025-05","电力","302","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0293","多记录删除子查询路径验证"
"2025-06","电力","303","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0294","多记录删除子查询路径验证"
"2025-07","电力","304","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0295","多记录删除子查询路径验证"
"2025-08","电力","305","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0296","多记录删除子查询路径验证"
"2025-09","电力","306","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0297","多记录删除子查询路径验证"
"2025-10","电力","307","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0298","多记录删除子查询路径验证"
"2025-11","电力","308","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0299","多记录删除子查询路径验证"
"2025-12","电力","309","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0300","多记录删除子查询路径验证"
"2025-01","电力","310","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0301","多记录删除子查询路径验证"
"2025-02","电力","311","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0302","多记录删除子查询路径验证"
"2025-03","电力","312","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0303","多记录删除子查询路径验证"
"2025-04","电力","313","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0304","多记录删除子查询路径验证"
"2025-05","电力","314","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0305","多记录删除子查询路径验证"
"2025-06","电力","315","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0306","多记录删除子查询路径验证"
"2025-07","电力","316","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0307","多记录删除子查询路径验证"
"2025-08","电力","317","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0308","多记录删除子查询路径验证"
"2025-09","电力","318","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0309","多记录删除子查询路径验证"
"2025-10","电力","319","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0310","多记录删除子查询路径验证"
"2025-11","电力","320","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0311","多记录删除子查询路径验证"
"2025-12","电力","321","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0312","多记录删除子查询路径验证"
"2025-01","电力","322","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0313","多记录删除子查询路径验证"
"2025-02","电力","323","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0314","多记录删除子查询路径验证"
"2025-03","电力","324","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0315","多记录删除子查询路径验证"
"2025-04","电力","325","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0316","多记录删除子查询路径验证"
"2025-05","电力","326","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0317","多记录删除子查询路径验证"
"2025-06","电力","327","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0318","多记录删除子查询路径验证"
"2025-07","电力","328","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0319","多记录删除子查询路径验证"
"2025-08","电力","329","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0320","多记录删除子查询路径验证"
"2025-09","电力","330","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0321","多记录删除子查询路径验证"
"2025-10","电力","331","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0322","多记录删除子查询路径验证"
"2025-11","电力","332","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0323","多记录删除子查询路径验证"
"2025-12","电力","333","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0324","多记录删除子查询路径验证"
"2025-01","电力","334","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0325","多记录删除子查询路径验证"
"2025-02","电力","335","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0326","多记录删除子查询路径验证"
"2025-03","电力","336","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0327","多记录删除子查询路径验证"
"2025-04","电力","337","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0328","多记录删除子查询路径验证"
"2025-05","电力","338","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0329","多记录删除子查询路径验证"
"2025-06","电力","339","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0330","多记录删除子查询路径验证"
"2025-07","电力","340","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0331","多记录删除子查询路径验证"
"2025-08","电力","341","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0332","多记录删除子查询路径验证"
"2025-09","电力","342","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0333","多记录删除子查询路径验证"
"2025-10","电力","343","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0334","多记录删除子查询路径验证"
"2025-11","电力","344","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0335","多记录删除子查询路径验证"
"2025-12","电力","345","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0336","多记录删除子查询路径验证"
"2025-01","电力","346","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0337","多记录删除子查询路径验证"
"2025-02","电力","347","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0338","多记录删除子查询路径验证"
"2025-03","电力","348","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0339","多记录删除子查询路径验证"
"2025-04","电力","349","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0340","多记录删除子查询路径验证"
"2025-05","电力","350","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0341","多记录删除子查询路径验证"
"2025-06","电力","351","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0342","多记录删除子查询路径验证"
"2025-07","电力","352","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0343","多记录删除子查询路径验证"
"2025-08","电力","353","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0344","多记录删除子查询路径验证"
"2025-09","电力","354","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0345","多记录删除子查询路径验证"
"2025-10","电力","355","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0346","多记录删除子查询路径验证"
"2025-11","电力","356","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0347","多记录删除子查询路径验证"
"2025-12","电力","357","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0348","多记录删除子查询路径验证"
"2025-01","电力","358","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0349","多记录删除子查询路径验证"
"2025-02","电力","359","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0350","多记录删除子查询路径验证"
"2025-03","电力","360","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0351","多记录删除子查询路径验证"
"2025-04","电力","361","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0352","多记录删除子查询路径验证"
"2025-05","电力","362","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0353","多记录删除子查询路径验证"
"2025-06","电力","363","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0354","多记录删除子查询路径验证"
"2025-07","电力","364","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0355","多记录删除子查询路径验证"
"2025-08","电力","365","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0356","多记录删除子查询路径验证"
"2025-09","电力","366","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0357","多记录删除子查询路径验证"
"2025-10","电力","367","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0358","多记录删除子查询路径验证"
"2025-11","电力","368","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0359","多记录删除子查询路径验证"
"2025-12","电力","369","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0360","多记录删除子查询路径验证"
"2025-01","电力","370","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0361","多记录删除子查询路径验证"
"2025-02","电力","371","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0362","多记录删除子查询路径验证"
"2025-03","电力","372","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0363","多记录删除子查询路径验证"
"2025-04","电力","373","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0364","多记录删除子查询路径验证"
"2025-05","电力","374","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0365","多记录删除子查询路径验证"
"2025-06","电力","375","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0366","多记录删除子查询路径验证"
"2025-07","电力","376","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0367","多记录删除子查询路径验证"
"2025-08","电力","377","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0368","多记录删除子查询路径验证"
"2025-09","电力","378","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0369","多记录删除子查询路径验证"
"2025-10","电力","379","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0370","多记录删除子查询路径验证"
"2025-11","电力","380","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0371","多记录删除子查询路径验证"
"2025-12","电力","381","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0372","多记录删除子查询路径验证"
"2025-01","电力","382","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0373","多记录删除子查询路径验证"
"2025-02","电力","383","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0374","多记录删除子查询路径验证"
"2025-03","电力","384","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0375","多记录删除子查询路径验证"
"2025-04","电力","385","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0376","多记录删除子查询路径验证"
"2025-05","电力","386","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0377","多记录删除子查询路径验证"
"2025-06","电力","387","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0378","多记录删除子查询路径验证"
"2025-07","电力","388","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0379","多记录删除子查询路径验证"
"2025-08","电力","389","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0380","多记录删除子查询路径验证"
"2025-09","电力","390","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0381","多记录删除子查询路径验证"
"2025-10","电力","391","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0382","多记录删除子查询路径验证"
"2025-11","电力","392","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0383","多记录删除子查询路径验证"
"2025-12","电力","393","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0384","多记录删除子查询路径验证"
"2025-01","电力","394","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0385","多记录删除子查询路径验证"
"2025-02","电力","395","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0386","多记录删除子查询路径验证"
"2025-03","电力","396","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0387","多记录删除子查询路径验证"
"2025-04","电力","397","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0388","多记录删除子查询路径验证"
"2025-05","电力","398","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0389","多记录删除子查询路径验证"
"2025-06","电力","399","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0390","多记录删除子查询路径验证"
"2025-07","电力","400","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0391","多记录删除子查询路径验证"
"2025-08","电力","401","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0392","多记录删除子查询路径验证"
"2025-09","电力","402","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0393","多记录删除子查询路径验证"
"2025-10","电力","403","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0394","多记录删除子查询路径验证"
"2025-11","电力","404","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0395","多记录删除子查询路径验证"
"2025-12","电力","405","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0396","多记录删除子查询路径验证"
"2025-01","电力","406","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0397","多记录删除子查询路径验证"
"2025-02","电力","407","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0398","多记录删除子查询路径验证"
"2025-03","电力","408","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0399","多记录删除子查询路径验证"
"2025-04","电力","409","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0400","多记录删除子查询路径验证"
"2025-05","电力","410","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0401","多记录删除子查询路径验证"
"2025-06","电力","411","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0402","多记录删除子查询路径验证"
"2025-07","电力","412","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0403","多记录删除子查询路径验证"
"2025-08","电力","413","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0404","多记录删除子查询路径验证"
"2025-09","电力","414","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0405","多记录删除子查询路径验证"
"2025-10","电力","415","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0406","多记录删除子查询路径验证"
"2025-11","电力","416","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0407","多记录删除子查询路径验证"
"2025-12","电力","417","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0408","多记录删除子查询路径验证"
"2025-01","电力","418","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0409","多记录删除子查询路径验证"
"2025-02","电力","419","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0410","多记录删除子查询路径验证"
"2025-03","电力","420","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0411","多记录删除子查询路径验证"
"2025-04","电力","421","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0412","多记录删除子查询路径验证"
"2025-05","电力","422","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0413","多记录删除子查询路径验证"
"2025-06","电力","423","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0414","多记录删除子查询路径验证"
"2025-07","电力","424","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0415","多记录删除子查询路径验证"
"2025-08","电力","425","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0416","多记录删除子查询路径验证"
"2025-09","电力","426","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0417","多记录删除子查询路径验证"
"2025-10","电力","427","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0418","多记录删除子查询路径验证"
"2025-11","电力","428","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0419","多记录删除子查询路径验证"
"2025-12","电力","429","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0420","多记录删除子查询路径验证"
"2025-01","电力","430","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0421","多记录删除子查询路径验证"
"2025-02","电力","431","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0422","多记录删除子查询路径验证"
"2025-03","电力","432","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0423","多记录删除子查询路径验证"
"2025-04","电力","433","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0424","多记录删除子查询路径验证"
"2025-05","电力","434","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0425","多记录删除子查询路径验证"
"2025-06","电力","435","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0426","多记录删除子查询路径验证"
"2025-07","电力","436","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0427","多记录删除子查询路径验证"
"2025-08","电力","437","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0428","多记录删除子查询路径验证"
"2025-09","电力","438","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0429","多记录删除子查询路径验证"
"2025-10","电力","439","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0430","多记录删除子查询路径验证"
"2025-11","电力","440","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0431","多记录删除子查询路径验证"
"2025-12","电力","441","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0432","多记录删除子查询路径验证"
"2025-01","电力","442","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0433","多记录删除子查询路径验证"
"2025-02","电力","443","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0434","多记录删除子查询路径验证"
"2025-03","电力","444","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0435","多记录删除子查询路径验证"
"2025-04","电力","445","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0436","多记录删除子查询路径验证"
"2025-05","电力","446","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0437","多记录删除子查询路径验证"
"2025-06","电力","447","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0438","多记录删除子查询路径验证"
"2025-07","电力","448","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0439","多记录删除子查询路径验证"
"2025-08","电力","449","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0440","多记录删除子查询路径验证"
"2025-09","电力","450","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0441","多记录删除子查询路径验证"
"2025-10","电力","451","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0442","多记录删除子查询路径验证"
"2025-11","电力","452","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0443","多记录删除子查询路径验证"
"2025-12","电力","453","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0444","多记录删除子查询路径验证"
"2025-01","电力","454","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0445","多记录删除子查询路径验证"
"2025-02","电力","455","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0446","多记录删除子查询路径验证"
"2025-03","电力","456","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0447","多记录删除子查询路径验证"
"2025-04","电力","457","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0448","多记录删除子查询路径验证"
"2025-05","电力","458","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0449","多记录删除子查询路径验证"
"2025-06","电力","459","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0450","多记录删除子查询路径验证"
"2025-07","电力","460","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0451","多记录删除子查询路径验证"
"2025-08","电力","461","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0452","多记录删除子查询路径验证"
"2025-09","电力","462","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0453","多记录删除子查询路径验证"
"2025-10","电力","463","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0454","多记录删除子查询路径验证"
"2025-11","电力","464","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0455","多记录删除子查询路径验证"
"2025-12","电力","465","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0456","多记录删除子查询路径验证"
"2025-01","电力","466","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0457","多记录删除子查询路径验证"
"2025-02","电力","467","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0458","多记录删除子查询路径验证"
"2025-03","电力","468","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0459","多记录删除子查询路径验证"
"2025-04","电力","469","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0460","多记录删除子查询路径验证"
"2025-05","电力","470","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0461","多记录删除子查询路径验证"
"2025-06","电力","471","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0462","多记录删除子查询路径验证"
"2025-07","电力","472","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0463","多记录删除子查询路径验证"
"2025-08","电力","473","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0464","多记录删除子查询路径验证"
"2025-09","电力","474","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0465","多记录删除子查询路径验证"
"2025-10","电力","475","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0466","多记录删除子查询路径验证"
"2025-11","电力","476","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0467","多记录删除子查询路径验证"
"2025-12","电力","477","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0468","多记录删除子查询路径验证"
"2025-01","电力","478","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0469","多记录删除子查询路径验证"
"2025-02","电力","479","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0470","多记录删除子查询路径验证"
"2025-03","电力","480","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0471","多记录删除子查询路径验证"
"2025-04","电力","481","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0472","多记录删除子查询路径验证"
"2025-05","电力","482","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0473","多记录删除子查询路径验证"
"2025-06","电力","483","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0474","多记录删除子查询路径验证"
"2025-07","电力","484","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0475","多记录删除子查询路径验证"
"2025-08","电力","485","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0476","多记录删除子查询路径验证"
"2025-09","电力","486","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0477","多记录删除子查询路径验证"
"2025-10","电力","487","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0478","多记录删除子查询路径验证"
"2025-11","电力","488","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0479","多记录删除子查询路径验证"
"2025-12","电力","489","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0480","多记录删除子查询路径验证"
"2025-01","电力","490","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0481","多记录删除子查询路径验证"
"2025-02","电力","491","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0482","多记录删除子查询路径验证"
"2025-03","电力","492","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0483","多记录删除子查询路径验证"
"2025-04","电力","493","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0484","多记录删除子查询路径验证"
"2025-05","电力","494","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0485","多记录删除子查询路径验证"
"2025-06","电力","495","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0486","多记录删除子查询路径验证"
"2025-07","电力","496","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0487","多记录删除子查询路径验证"
"2025-08","电力","497","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0488","多记录删除子查询路径验证"
"2025-09","电力","498","kWh","大批次删除集团","参数上限验证园区","验证部","BULK-0489","多记录删除子查询路径验证"
